Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f
JUDr. Jozefína Králová	1	0	roky 2011 - 2013	Okresný súd Bratislava IV	Okresný súd Bratislava IV	Okresný súd Bratislava IV	2011 - Okresný súd Bratislava IV; 2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava IV	bola prideľovaná najmä Občianskoprávna agenda.	856	0	0	106	rozhodoval najmä v Občianskoprávnej agende.	1016	0	0	105	653	16,04900459	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 45,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	86	39	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,7 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 4,2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,33. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 151 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 80 reštančných vecí, pričom priemer v SR je 126. To tvorí 33,9 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 100,4 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 21,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 356. mieste. Za kvalitu rozhodovania získal 4,5 bodov z 15 a za efektivitu 16,75 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Judita Dubjelová	0	0	rok 2011	Okresný súd Stará Ľubovňa	N/A	N/A	2011 - Okresný súd Stará Ľubovňa	bola prideľovaná najmä Občianskoprávna agenda.	166	99	0	1	rozhodoval najmä v Občianskoprávnej agende.	188	144	0	1	191	13,92670157	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 73,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	15	11	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 4,5 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,2 %, pričom priemer v SR je 3,3 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	Okresný súd Stará Ľubovňa - 0	N/A	N/A	N/A	N/A	N/A
JUDr. Judita Knociková	2	0	roky 2011 - 2013	Okresný súd Trenčín	Okresný súd Trenčín	Okresný súd Trenčín	2011 - Okresný súd Trenčín; 2012 - Okresný súd Trenčín; 2013 - Okresný súd Trenčín	bola prideľovaná najmä Občianskoprávna agenda.	1062	0	27	0	rozhodoval najmä v Občianskoprávnej agende.	1028	0	28	0	648	17,77777778	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 67,6 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	68	46	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 6,4 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,1 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,18. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 457 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 501 reštančných vecí, pričom priemer v SR je 126. To tvorí 69,7 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 128,7 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 557. mieste. Za kvalitu rozhodovania získal 9,5 bodov z 15 a za efektivitu 7,75 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Júlia Henteková	0	0	roky 2011 - 2013	Okresný súd Komárno	Okresný súd Komárno	Okresný súd Komárno	2011 - Okresný súd Komárno; 2012 - Okresný súd Komárno; 2013 - Okresný súd Komárno	bola prideľovaná najmä Občianskoprávna agenda.	905	1	446	0	rozhodoval najmä v Občianskoprávnej agende.	827	1	445	0	624	21,66666667	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 52,4 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	42	22	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 3,3 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,6 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,79. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 322 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 127 reštančných vecí, pričom priemer v SR je 126. To tvorí 38,1 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 92,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 19,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 437. mieste. Za kvalitu rozhodovania získal 7 bodov z 15 a za efektivitu 12,75 z možných 25.	N/A	N/A	Okresný súd Komárno - Nebol dôvod na zníženie nápadu.Sudkyni agenda P podľa rozvrhu práce bola prideľovaná v l/4-ine, agenda C v 1/19-ine , agenda Ro v 1/19-ine, D v 1/4-ine a Er v 1/9-ine. 	N/A	Okresný súd Komárno - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	N/A
JUDr. Júlia Weiserová	0	0	roky 2011 - 2013	Okresný súd Spišská Nová Ves	Okresný súd Spišská Nová Ves	Okresný súd Spišská Nová Ves	2011 - Okresný súd Spišská Nová Ves; 2012 - Okresný súd Spišská Nová Ves; 2013 - Okresný súd Spišská Nová Ves	bola prideľovaná najmä Občianskoprávna agenda.	720	0	466	0	rozhodoval najmä v Občianskoprávnej agende.	485	0	444	0	652	18,19018405	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 63,9 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	36	23	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 3,9 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,4 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,63. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 279 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 223 reštančných vecí, pričom priemer v SR je 126. To tvorí 71 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109,9 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 19,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 472. mieste. Za kvalitu rozhodovania získal 9 bodov z 15 a za efektivitu 10,25 z možných 25.	N/A	N/A	Okresný súd Spišská Nová Ves - Nápad za rok 2012 bol zvýšený	N/A	N/A	N/A
JUDr. Július Tóth	0	0	roky 2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Košice I	bola prideľovaná najmä Obchodná agenda.	0	333	0	0	rozhodoval najmä v Obchodnej agende.	0	376	0	0	651	5,391705069	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 63,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	30	19	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 8 % prípadoch, pričom priemer v SR je 9,7 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,9 %, pričom priemer v SR je 3,4 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,16. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 155 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 75 reštančných vecí, pričom priemer v SR je 126. To tvorí 45,2 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 102,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 21,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 356. mieste. Za kvalitu rozhodovania získal 8 bodov z 15 a za efektivitu 13,25 z možných 25.	Okresný súd Košice I - Opatrením predsedu súdu zo dňa  31.3.2011  (1SprR/20/2011) upravený pomer prideľovania  vecí registra Nsre ( 20% z dôvodu zabezpečenia plynulosti vybavovania iných agiend).	N/A	N/A	N/A	Okresný súd Košice I - Nápad znížení v súdnom oddelení 31Cbr na 50% za účelom zabezpečenia plynulého vybavovania vecí v agende K a R.	N/A
JUDr. Július Urban	0	0	roky 2011 - 2012	Okresný súd Dunajská Streda	Okresný súd Dunajská Streda	N/A	2011 - Okresný súd Dunajská Streda; 2012 - Okresný súd Dunajská Streda	bola prideľovaná najmä Trestná agenda.	0	0	0	162	rozhodoval najmä v Trestnej agende.	0	0	0	259	176	8,977272727	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 34 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	53	18	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 20,5 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 13,5 %, pričom priemer v SR je 4,1 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	Okresný súd Dunajská Streda - Opatrením predsedníčky súdu Spr 244/2011  s účinnosťou od 21.03.2011 do oddelenia sudcu z dôvodu práceneschopnosti bol pozastavený nápad vecí do tohto oddelenia. Neskončené veci z tohto oddelenia z dôvodu dlhodobej práceneschopnosti sudcu opatrením č. Spr 244/2011 boli prerozdelené a boli pridelené do oddelenia sudcov JUDr. Ladislava Pirosa a Mgr. Rudolfa Novotného. Účinnosťou od 13.09.2011 nápad do oddelenia sudcu bol obnovený a boli mu do oddelenia späť pridelené veci, ktoré v jeho neprítomnosti neboli právoplatne skončené. Celkom dostal do svojho oddelenia späť 124 vecí s 160 osobami do oddelenia 3T, 4 veci s 4 osobami do oddelenia 3Tp a 3 veci s 3 osobami do oddelenia 3Nt. 	N/A	Okresný súd Dunajská Streda - Sudca funkciu sudcu v roku 2012 vykonával do 28.06.2012. K uvedenému dňu bol mu prerušený výkon funkcie sudcu z dôvodu nástupu na starobný dôchodok. Pred nástupom na starobný dôchodok od 02.05.2012 do 28.06.2012 čerpal zostatkovú dovolenku. 	N/A	N/A	N/A
JUDr. Juraj Lehotský	0	0	roky 2011 - 2013	Okresný súd Zvolen	Okresný súd Zvolen	Okresný súd Zvolen	2011 - Okresný súd Zvolen; 2012 - Okresný súd Zvolen; 2013 - Okresný súd Zvolen	bola prideľovaná najmä Občianskoprávna agenda.	766	167	106	0	rozhodoval najmä v Občianskoprávnej agende.	802	162	100	0	650	16,29230769	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 61,9 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	84	52	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,9 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 309 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 206 reštančných vecí, pričom priemer v SR je 126. To tvorí 57,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 97,8 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 546. mieste. Za kvalitu rozhodovania získal 7,75 bodov z 15 a za efektivitu 9,75 z možných 25.	"Okresný súd Zvolen - 
----------------------------------------------------------"	N/A	N/A	N/A	Okresný súd Zvolen - ---	N/A
JUDr. Juraj Mihál	1	0	roky 2011 - 2013	Okresný súd Bratislava I	Okresný súd Bratislava I	Okresný súd Bratislava I	2011 - Okresný súd Bratislava I; 2012 - Okresný súd Bratislava I; 2013 - Okresný súd Bratislava I	bola prideľovaná najmä Trestná agenda.	0	0	0	316	rozhodoval najmä v Trestnej agende.	0	0	0	417	657	4,809741248	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 38,2 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	55	21	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 13,2 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 8,2 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,35. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 178 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 158 reštančných vecí, pričom priemer v SR je 126. To tvorí 86,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 137,5 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 13,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 659. mieste. Za kvalitu rozhodovania získal 3,25 bodov z 15 a za efektivitu 10,25 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Juraj Szököl	0	0	roky 2011 - 2013	Okresný súd Lučenec	Okresný súd Lučenec	Okresný súd Lučenec	2011 - Okresný súd Lučenec; 2012 - Okresný súd Lučenec; 2013 - Okresný súd Lučenec	bola prideľovaná najmä Občianskoprávna agenda.	591	0	334	0	rozhodoval najmä v Občianskoprávnej agende.	443	0	311	0	659	14,23368741	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 59,2 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	49	29	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 6,5 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,7 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,83. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 200 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 122 reštančných vecí, pričom priemer v SR je 126. To tvorí 55 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 84 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 18,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 490. mieste. Za kvalitu rozhodovania získal 7,25 bodov z 15 a za efektivitu 11,5 z možných 25.	Okresný súd Lučenec - ---	N/A	Okresný súd Lučenec - ---	N/A	Okresný súd Lučenec - ---	N/A
JUDr. Juraj Šteffel	1	1	roky 2011 - 2013	Okresný súd Kežmarok	Okresný súd Kežmarok	Okresný súd Kežmarok	2011 - Okresný súd Kežmarok; 2012 - Okresný súd Kežmarok; 2013 - Okresný súd Kežmarok	bola prideľovaná najmä Občianskoprávna agenda.	1013	415	0	0	rozhodoval najmä v Občianskoprávnej agende.	761	422	0	0	640	22,03125	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 40,5 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	37	15	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 3,1 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,9 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,27. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 532 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 104 reštančných vecí, pričom priemer v SR je 126. To tvorí 17,7 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 68,7 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 15,75 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 607. mieste. Za kvalitu rozhodovania získal 5 bodov z 15 a za efektivitu 10,75 z možných 25.	N/A	N/A	Okresný súd Kežmarok - Nie je znížený nápad	N/A	Okresný súd Kežmarok - Nápad nebol znížený.	N/A
JUDr. Juraj Valášek	0	0	rok 2013	N/A	N/A	Okresný súd Bánovce n/B	2013 - Okresný súd Bánovce n/B	nebola žiadna agenda prideľovaná dominantne.	0	0	97	53	rozhodoval najmä vo veciach Starostlivosti o maloletých.	25	0	82	56	143	18,25174825	Evidujeme menej ako 10 rozhodnutí o odvolaniach voči rozhodnutiam sudcu.	4	1	N/A	N/A	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,48. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 78 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 93 reštančných vecí, pričom priemer v SR je 126. To tvorí 69,9 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 62,5 % prípadov. Priemer v SR bol 99,6 %.	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Kajetán Kičura	3	2	roky 2011 - 2012	Okresný súd Čadca	Okresný súd Čadca	N/A	2011 - Okresný súd Čadca; 2012 - Okresný súd Čadca	bola prideľovaná najmä Občianskoprávna agenda.	173	25	91	4	rozhodoval najmä v Občianskoprávnej agende.	134	18	52	4	265	5,396226415	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 59,1 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	22	13	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,6 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 4,3 %, pričom priemer v SR je 3,3 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	Okresný súd Čadca - Nápad  zastavený z dôvodu výkonu funckie predsedu súdu do 10.5.2011	N/A	N/A	N/A	N/A	N/A
JUDr. Kamila Haverlová	0	0	roky 2011 - 2013	Okresný súd Žiar n/H	Okresný súd Žiar n/H	Okresný súd Žiar n/H	2011 - Okresný súd Žiar n/H; 2012 - Okresný súd Žiar n/H; 2013 - Okresný súd Žiar n/H	bola prideľovaná najmä agenda Starostlivosti o maloletých.	394	100	777	0	rozhodoval najmä vo veciach Starostlivosti o maloletých.	200	71	894	0	620	21,20967742	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 58,4 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	89	52	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 7,6 % prípadoch, pričom priemer v SR je 7,2 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,2 %, pričom priemer v SR je 2,5 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,77. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 277 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 160 reštančných vecí, pričom priemer v SR je 126. To tvorí 48,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 99,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 18,25 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 509. mieste. Za kvalitu rozhodovania získal 6,25 bodov z 15 a za efektivitu 12 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Karmelita Horváthová	2	0	roky 2011 - 2013	Okresný súd Trnava	Okresný súd Trnava	Okresný súd Trnava	2011 - Okresný súd Trnava; 2012 - Okresný súd Trnava; 2013 - Okresný súd Trnava	bola prideľovaná najmä Občianskoprávna agenda.	781	0	224	0	rozhodoval najmä v Občianskoprávnej agende.	795	11	192	0	577	19,58405546	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 45,4 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	97	44	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 9,7 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 5,3 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,71. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 368 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 115 reštančných vecí, pričom priemer v SR je 126. To tvorí 26,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 85,9 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 16,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 584. mieste. Za kvalitu rozhodovania získal 3,5 bodov z 15 a za efektivitu 13 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Karol Krochta	1	1	roky 2011 - 2013	Okresný súd Bardejov	Okresný súd Bardejov	Okresný súd Bardejov	2011 - Okresný súd Bardejov; 2012 - Okresný súd Bardejov; 2013 - Okresný súd Bardejov	bola prideľovaná najmä Občianskoprávna agenda.	416	92	35	18	rozhodoval najmä v Občianskoprávnej agende.	598	177	45	20	630	9,047619048	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 60,2 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	108	65	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 12,9 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 5,1 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,51. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 87 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 103 reštančných vecí, pričom priemer v SR je 126. To tvorí 70,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 187 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 21 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 370. mieste. Za kvalitu rozhodovania získal 5,25 bodov z 15 a za efektivitu 15,75 z možných 25.	Okresný súd Bardejov - 0	N/A	Okresný súd Bardejov - od 1.4.2012 - 31.12.2012 - vykonával funkciu predsedu súdu	N/A	Okresný súd Bardejov - Od 1.1.2013 do 31.12.2013 vykonával funkciu predsedu súdu	N/A
JUDr. Karol Posluch	0	0	roky 2011 - 2013	Okresný súd Bratislava II 	Okresný súd Bratislava II 	Okresný súd Bratislava II 	2011 - Okresný súd Bratislava II ; 2012 - Okresný súd Bratislava II ; 2013 - Okresný súd Bratislava II 	bola prideľovaná najmä Trestná agenda.	0	0	0	814	rozhodoval najmä v Trestnej agende.	0	0	0	1036	658	12,44680851	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 47,5 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	99	47	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 9,6 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 5 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,26. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 97 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 82 reštančných vecí, pričom priemer v SR je 126. To tvorí 54,3 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 123,8 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 23 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 254. mieste. Za kvalitu rozhodovania získal 6 bodov z 15 a za efektivitu 17 z možných 25.	Okresný súd Bratislava II  - sudca nemá znížený nápad	N/A	Okresný súd Bratislava II  - Sudca nemal znížený nápad.	N/A	N/A	N/A
