Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
JUDr. Jozef Mikluš	0	0	2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Košice I	bola prideľovaná najmä Občiansko-právna agenda	444	0	1	183	rozhodoval najmä v Občiansko-právnej agende	444	0	1	183	410	171	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 65,2 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	46	30	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,5 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 143 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 56 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 37 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 57,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 90,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 219. - 232. mieste. Za kvalitu získal 8 z 15 možných bodov, za efektivitu 15,75 z 25.	2012 - Opatrením predsedu súdu zo dňa 29.2.2012  1SprR/11/2012  s účinnosťou od 1.3.2012 bol pozastavený nápad rpideľovania veci registra C, Cd, Ccud, Cpr, Em,Ed,Ecud,Ro za účlom prípravy preloženia na trestný úsek.	2012 - 18.10.2012 - Najnovšia judikatúra ESĽP.; 2013 - 13.3.2013 Aktuálna rozhodovacia činnosť v trestnom práve.			2012 - Opatrením predsedu súdu zo dňa 29.2.2012  1SprR/11/2012  s účinnosťou od 1.3.2012 bol pozastavený nápad rpideľovania veci registra C, Cd, Ccud, Cpr, Em,Ed,Ecud,Ro za účlom prípravy preloženia na trestný úsek.	2012 - 18.10.2012 - Najnovšia judikatúra ESĽP.		2013 - 13.3.2013 Aktuálna rozhodovacia činnosť v trestnom práve.
JUDr. Jozef Pribula	0	0	2011 - 2013	Okresný súd Košice okolie	Okresný súd Košice okolie	Okresný súd Košice okolie	2011 - Okresný súd Košice okolie; 2012 - Okresný súd Košice okolie; 2013 - Okresný súd Košice okolie	bola prideľovaná najmä Občiansko-právna agenda	652	188	0	2	rozhodoval najmä v Občiansko-právnej agende	652	188	0	2	646	208	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 60 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	10	6	Odvolanie proti rozhodnutiam sudcu je podávané v približne 1,2 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,5 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 430 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 572 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 88 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 12,9 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 73,6 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 20,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 385. - 401. mieste. Za kvalitu získal 8,75 z 15 možných bodov, za efektivitu 12 z 25.		2011 - prednášková činnosť v období: 04.-05.04.2011; 11.-12.04.2011; 05.-07.09.2011; 12.-14.09.2011 ; 2012 - Prednášková činnosť -  08.10.2012; 10.10.2012; 22.10.2012; 24.10.2012		2011 - prednášková činnosť v období: 04.-05.04.2011; 11.-12.04.2011; 05.-07.09.2011; 12.-14.09.2011 		2012 - Prednášková činnosť -  08.10.2012; 10.10.2012; 22.10.2012; 24.10.2012		
JUDr. Jozef Škvára	0	0	2011 - 2012	Okresný súd Nové Zámky	Okresný súd Nové Zámky		2011 - Okresný súd Nové Zámky; 2012 - Okresný súd Nové Zámky	bola prideľovaná najmä Trestná agenda	0	0	0	600	rozhodoval najmä v Trestnej agende	0	0	0	600	431	119	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 50 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	54	27	Odvolanie proti rozhodnutiam sudcu je podávané v približne 9 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,5 %, pričom priemer v SR v rovnakej agende je 4 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.								
JUDr. Jozef Turza	0	0	2011 - 2013	Okresný súd Ružomberok	Okresný súd Ružomberok	Okresný súd Ružomberok	2011 - Okresný súd Ružomberok; 2012 - Okresný súd Ružomberok; 2013 - Okresný súd Ružomberok	nebola žiadna agenda prideľovaná dominantne	134	39	126	24	nerozhodoval v žiadnej agende väčšinovo	134	39	126	24	555	82	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 80 % prípadoch, pričom priemer v SR v rovnakej agende je 61,2 %.	20	16	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,2 % prípadoch. Priemer v SR je v rovnakej agende 8,6 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,2 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	"2011 - § 35 ods.3 zákona č. 757/2004 Z.z.; 2012 - do 11.4.2012 - § 35 ods. 3 zákona č. 757/2004 Z.z. (predseda súdu); 2013 - S účinnosťou od 6.2.2013 do 28.2.2013 sudcovi pozastavený nápad  z dôvodu dlhodobej PN - Dodatok č. 1 spr. 196/2013 zo dňa 1.2.2013 

                                                                                                                                               S účinnosťou od 1.4.2013 do 31.3.2014 sudcovi pozastagený nápad v celom rozsahu z dôvodu jeho dočasného pridelenia na Najvyšší súd SR podľa § 51 ods. 4 písm. b) Z.č. 757/2004 Z.z.-  Dodatok č. 3 Spr. 545/2013 zo dňa 3.4.2013 "	2011 - 3x - školenie; 2012 - 4.6.2012 - Efektívne využitie počítača, internetu a právnických vyhľadávačov, 25.4.2012 - Odstrániteľné/neodstrániteľné vydy návrhu.; 2013 - Dočasné pridelenie sudcu na Najvyšší súd Slovenskej republiky (1.4.2013 - 31.3.2014).	2011 - § 35 ods.3 zákona č. 757/2004 Z.z.	2011 - 3x - školenie	2012 - do 11.4.2012 - § 35 ods. 3 zákona č. 757/2004 Z.z. (predseda súdu)	2012 - 4.6.2012 - Efektívne využitie počítača, internetu a právnických vyhľadávačov, 25.4.2012 - Odstrániteľné/neodstrániteľné vydy návrhu.	"2013 - S účinnosťou od 6.2.2013 do 28.2.2013 sudcovi pozastavený nápad  z dôvodu dlhodobej PN - Dodatok č. 1 spr. 196/2013 zo dňa 1.2.2013 

                                                                                                                                               S účinnosťou od 1.4.2013 do 31.3.2014 sudcovi pozastagený nápad v celom rozsahu z dôvodu jeho dočasného pridelenia na Najvyšší súd SR podľa § 51 ods. 4 písm. b) Z.č. 757/2004 Z.z.-  Dodatok č. 3 Spr. 545/2013 zo dňa 3.4.2013 "	2013 - Dočasné pridelenie sudcu na Najvyšší súd Slovenskej republiky (1.4.2013 - 31.3.2014).
JUDr. Jozef Zlocha	0	0	2011 - 2013	Okresný súd Brezno	Okresný súd Brezno	Okresný súd Brezno	2011 - Okresný súd Brezno; 2012 - Okresný súd Brezno; 2013 - Okresný súd Brezno	bola prideľovaná najmä agenda Starostlivosti o maloletých	350	0	545	0	rozhodoval najmä v agende Starostlivosti o maloletých	350	0	545	0	617	209	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 72,1 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	61	44	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,8 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,9 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 210 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 159 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 58 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 33,9 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 75 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 219. - 232. mieste. Za kvalitu získal 8,75 z 15 možných bodov, za efektivitu 15 z 25.		"2011 - Účasť na 2 seminároch organizovaných Justičnou akadémiou SR.; 2012 - 01.10.2012 - seminár (1 deň) - ""Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - civilný úsek - 2.časť""; 2013 - 07.10.2013-08.10.2013 - seminár (2 dni) ""Právo na súdnu ochranu-aktuálna judikatúraÚS SR v praxi""
09.10.2013 - seminár (1 deň) ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"""		2011 - Účasť na 2 seminároch organizovaných Justičnou akadémiou SR.		"2012 - 01.10.2012 - seminár (1 deň) - ""Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - civilný úsek - 2.časť"""		"2013 - 07.10.2013-08.10.2013 - seminár (2 dni) ""Právo na súdnu ochranu-aktuálna judikatúraÚS SR v praxi""
09.10.2013 - seminár (1 deň) ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"""
JUDr. Jozefína Králová	1	0	2011 - 2013	Okresný súd Bratislava IV	Okresný súd Bratislava IV	Okresný súd Bratislava IV	2011 - Okresný súd Bratislava IV; 2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava IV	bola prideľovaná najmä Občiansko-právna agenda	1016	0	0	105	rozhodoval najmä v Občiansko-právnej agende	1016	0	0	105	653	160	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 45,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	86	39	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,7 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 121 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 151 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 80 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 33,9 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 100,4 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 21,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 355. - 369. mieste. Za kvalitu získal 4,5 z 15 možných bodov, za efektivitu 16,75 z 25.		"2012 - - Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - civilný úsek - 1. časť v termíne 31.01.2012 - 1 deň; 2013 - Ochrana spotrebiteľa a osobitným akcentom na rozhodcovské konanie - 1 deň.
Seminár sudcov obvodu KS v Bratislave - 2 dni.
Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva - 2 dni."				2012 - - Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - civilný úsek - 1. časť v termíne 31.01.2012 - 1 deň		"2013 - Ochrana spotrebiteľa a osobitným akcentom na rozhodcovské konanie - 1 deň.
Seminár sudcov obvodu KS v Bratislave - 2 dni.
Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva - 2 dni."
JUDr. Judita Dubjelová	0	0	2011	Okresný súd Stará Ľubovňa			2011 - Okresný súd Stará Ľubovňa	bola prideľovaná najmä Občiansko-právna agenda	188	144	0	1	rozhodoval najmä v Občiansko-právnej agende	188	144	0	1	191	139	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 73,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	15	11	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,5 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - 0	2011 - 3	2011 - 0	2011 - 3				
JUDr. Judita Knociková	2	0	2011 - 2013	Okresný súd Trenčín	Okresný súd Trenčín	Okresný súd Trenčín	2011 - Okresný súd Trenčín; 2012 - Okresný súd Trenčín; 2013 - Okresný súd Trenčín	bola prideľovaná najmä Občiansko-právna agenda	1028	0	28	0	rozhodoval najmä v Občiansko-právnej agende	1028	0	28	0	648	178	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 67,6 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	68	46	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,4 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,1 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 432 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 457 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 501 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 69,7 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 128,7 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 17,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 556. - 573. mieste. Za kvalitu získal 9,5 z 15 možných bodov, za efektivitu 7,75 z 25.		"2011 - 07. - 08. septembra 2011 - Spotrebiteľské zmluvy v aplikačnej praxi
11.-12. októbra 2011 - školenie sudcov z obvodu Krajského súdu v Trenčíne; 2012 -  25.-26.09.2012 Školenie sudcov z obvodu KS v Trenčíne z občiansko-právneho, obchodného a správeho úseku,  29.-30.11.2012 Ochrana osobnosti, tlačový zákon a judikatúra ESĽP, 12.-13.12.2012 Princípy vnútroštátnej aplikácie práva EÚ; 2013 - 24.-25.1.2013 Majetkové, vecné a pozemkové práva (rozbor praktických prípadov), 18.-19.02.2013 Pracovné právo, Zákonník práce, aktuálna rozhodovacia činnosť, 21.-22.02.2013 Uznávanie rozhodnutí cudzích štátov na území SR, 11.04.2013 Určovacie žaloby, 22.-23.04.2013 Spory o vlastnícke právo k nehnuteľnostiam a kataster nehnuteľností, 13.-14.06.2013 Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva, Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva, 20.-21.06.2013 Ochrana osobnosti, tlačový zákon a judikatúra ESĽP, 03.-04.10.2013 Školenie sudcov z obvodu KS v Trenčíne z občiansko-právneho, obchodného a správneho úseku,"		"2011 - 07. - 08. septembra 2011 - Spotrebiteľské zmluvy v aplikačnej praxi
11.-12. októbra 2011 - školenie sudcov z obvodu Krajského súdu v Trenčíne"		2012 -  25.-26.09.2012 Školenie sudcov z obvodu KS v Trenčíne z občiansko-právneho, obchodného a správeho úseku,  29.-30.11.2012 Ochrana osobnosti, tlačový zákon a judikatúra ESĽP, 12.-13.12.2012 Princípy vnútroštátnej aplikácie práva EÚ		2013 - 24.-25.1.2013 Majetkové, vecné a pozemkové práva (rozbor praktických prípadov), 18.-19.02.2013 Pracovné právo, Zákonník práce, aktuálna rozhodovacia činnosť, 21.-22.02.2013 Uznávanie rozhodnutí cudzích štátov na území SR, 11.04.2013 Určovacie žaloby, 22.-23.04.2013 Spory o vlastnícke právo k nehnuteľnostiam a kataster nehnuteľností, 13.-14.06.2013 Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva, Zabezpečovanie záväzkov, záložné právo, zabezpečovacie prevody práva, 20.-21.06.2013 Ochrana osobnosti, tlačový zákon a judikatúra ESĽP, 03.-04.10.2013 Školenie sudcov z obvodu KS v Trenčíne z občiansko-právneho, obchodného a správneho úseku,
JUDr. Júlia Henteková	0	0	2011 - 2013	Okresný súd Komárno	Okresný súd Komárno	Okresný súd Komárno	2011 - Okresný súd Komárno; 2012 - Okresný súd Komárno; 2013 - Okresný súd Komárno	bola prideľovaná najmä Občiansko-právna agenda	827	1	445	0	rozhodoval najmä v Občiansko-právnej agende	827	1	445	0	624	217	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 52,4 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	42	22	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,6 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 289 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 322 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 127 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 38,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 92,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 438. - 457. mieste. Za kvalitu získal 7 z 15 možných bodov, za efektivitu 12,75 z 25.	2012 - Nebol dôvod na zníženie nápadu.Sudkyni agenda P podľa rozvrhu práce bola prideľovaná v l/4-ine, agenda C v 1/19-ine , agenda Ro v 1/19-ine, D v 1/4-ine a Er v 1/9-ine. ; 2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	2012 - Sudkyňa sa nezúčastnila žiadnych vzdelávacích aktivít.; 2013 - Sudkyňa sa nezúčastnila žiadnych aktivít.			2012 - Nebol dôvod na zníženie nápadu.Sudkyni agenda P podľa rozvrhu práce bola prideľovaná v l/4-ine, agenda C v 1/19-ine , agenda Ro v 1/19-ine, D v 1/4-ine a Er v 1/9-ine. 	2012 - Sudkyňa sa nezúčastnila žiadnych vzdelávacích aktivít.	2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	2013 - Sudkyňa sa nezúčastnila žiadnych aktivít.
JUDr. Júlia Weiserová	0	0	2011 - 2013	Okresný súd Spišská Nová Ves	Okresný súd Spišská Nová Ves	Okresný súd Spišská Nová Ves	2011 - Okresný súd Spišská Nová Ves; 2012 - Okresný súd Spišská Nová Ves; 2013 - Okresný súd Spišská Nová Ves	bola prideľovaná najmä Občiansko-právna agenda	485	0	444	0	rozhodoval najmä v Občiansko-právnej agende	485	0	444	0	652	182	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 63,9 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	36	23	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,9 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,4 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 228 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 279 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 223 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 71 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 473. - 480. mieste. Za kvalitu získal 9 z 15 možných bodov, za efektivitu 10,25 z 25.	2012 - Nápad za rok 2012 bol zvýšený	2012 - Sudca sa zúčastňoval na všetkých vzdelávacích aktivitách; 2013 - Sudkyňa sa zúčastňovala na všetkých vzdelávacích aktivitách			2012 - Nápad za rok 2012 bol zvýšený	2012 - Sudca sa zúčastňoval na všetkých vzdelávacích aktivitách		2013 - Sudkyňa sa zúčastňovala na všetkých vzdelávacích aktivitách
JUDr. Július Tóth	0	0	2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Košice I	bola prideľovaná najmä Obchodná agenda	0	376	0	0	rozhodoval najmä v Obchodnej agende	0	376	0	0	651	54	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 63,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	30	19	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,9 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 422 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 155 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 75 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 45,2 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 102,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 21,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 355. - 369. mieste. Za kvalitu získal 8 z 15 možných bodov, za efektivitu 13,25 z 25.	2011 - Opatrením predsedu súdu zo dňa  31.3.2011  (1SprR/20/2011) upravený pomer prideľovania  vecí registra Nsre ( 20% z dôvodu zabezpečenia plynulosti vybavovania iných agiend).; 2013 - Nápad znížení v súdnom oddelení 31Cbr na 50% za účelom zabezpečenia plynulého vybavovania vecí v agende K a R.	"2011 - 8.3.2011 Aplikačné právo OSP
27.5.2011 Obchodné záväzkové vzťahy
21.-22.11.2011  Konkurz a konkurzné konanie"	2011 - Opatrením predsedu súdu zo dňa  31.3.2011  (1SprR/20/2011) upravený pomer prideľovania  vecí registra Nsre ( 20% z dôvodu zabezpečenia plynulosti vybavovania iných agiend).	"2011 - 8.3.2011 Aplikačné právo OSP
27.5.2011 Obchodné záväzkové vzťahy
21.-22.11.2011  Konkurz a konkurzné konanie"			2013 - Nápad znížení v súdnom oddelení 31Cbr na 50% za účelom zabezpečenia plynulého vybavovania vecí v agende K a R.	
JUDr. Július Urban	0	0	2011 - 2012	Okresný súd Dunajská Streda	Okresný súd Dunajská Streda		2011 - Okresný súd Dunajská Streda; 2012 - Okresný súd Dunajská Streda	bola prideľovaná najmä Trestná agenda	0	0	0	259	rozhodoval najmä v Trestnej agende	0	0	0	259	176	90	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 34 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	53	18	Odvolanie proti rozhodnutiam sudcu je podávané v približne 20,5 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 13,5 %, pričom priemer v SR v rovnakej agende je 4 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - Opatrením predsedníčky súdu Spr 244/2011  s účinnosťou od 21.03.2011 do oddelenia sudcu z dôvodu práceneschopnosti bol pozastavený nápad vecí do tohto oddelenia. Neskončené veci z tohto oddelenia z dôvodu dlhodobej práceneschopnosti sudcu opatrením č. Spr 244/2011 boli prerozdelené a boli pridelené do oddelenia sudcov JUDr. Ladislava Pirosa a Mgr. Rudolfa Novotného. Účinnosťou od 13.09.2011 nápad do oddelenia sudcu bol obnovený a boli mu do oddelenia späť pridelené veci, ktoré v jeho neprítomnosti neboli právoplatne skončené. Celkom dostal do svojho oddelenia späť 124 vecí s 160 osobami do oddelenia 3T, 4 veci s 4 osobami do oddelenia 3Tp a 3 veci s 3 osobami do oddelenia 3Nt. ; 2012 - Sudca funkciu sudcu v roku 2012 vykonával do 28.06.2012. K uvedenému dňu bol mu prerušený výkon funkcie sudcu z dôvodu nástupu na starobný dôchodok. Pred nástupom na starobný dôchodok od 02.05.2012 do 28.06.2012 čerpal zostatkovú dovolenku. 		2011 - Opatrením predsedníčky súdu Spr 244/2011  s účinnosťou od 21.03.2011 do oddelenia sudcu z dôvodu práceneschopnosti bol pozastavený nápad vecí do tohto oddelenia. Neskončené veci z tohto oddelenia z dôvodu dlhodobej práceneschopnosti sudcu opatrením č. Spr 244/2011 boli prerozdelené a boli pridelené do oddelenia sudcov JUDr. Ladislava Pirosa a Mgr. Rudolfa Novotného. Účinnosťou od 13.09.2011 nápad do oddelenia sudcu bol obnovený a boli mu do oddelenia späť pridelené veci, ktoré v jeho neprítomnosti neboli právoplatne skončené. Celkom dostal do svojho oddelenia späť 124 vecí s 160 osobami do oddelenia 3T, 4 veci s 4 osobami do oddelenia 3Tp a 3 veci s 3 osobami do oddelenia 3Nt. 		2012 - Sudca funkciu sudcu v roku 2012 vykonával do 28.06.2012. K uvedenému dňu bol mu prerušený výkon funkcie sudcu z dôvodu nástupu na starobný dôchodok. Pred nástupom na starobný dôchodok od 02.05.2012 do 28.06.2012 čerpal zostatkovú dovolenku. 			
